y_true,y_pred
7.0,6.9928393
13.0,12.963572
11.0,10.951099
10.0,10.045666
7.0,7.2467923
9.0,8.907428
12.0,12.024041
9.0,9.034873
10.0,10.068326
15.0,14.724392
10.0,9.937185
13.0,13.028506
14.0,13.927377
15.0,14.802464
8.0,8.145696
11.0,11.0875025
11.0,10.8835745
13.0,12.871703
9.0,9.015161
6.0,6.271902
11.0,10.966307
13.0,12.98696
9.0,9.242889
10.0,10.103303
15.0,14.871727
13.0,12.886752
6.0,5.9631925
17.0,16.793905
7.0,6.985731
9.0,9.026108
14.0,13.964547
16.0,16.019445
12.0,12.108684
13.0,13.025849
11.0,11.215115
9.0,8.989678
19.0,19.005745
13.0,12.917377
11.0,11.008858
10.0,10.034032
10.0,9.957209
10.0,10.1840925
15.0,14.863407
10.0,9.932665
6.0,6.168367
17.0,16.975767
14.0,14.038527
11.0,10.986051
9.0,9.009774
10.0,10.098035
13.0,12.727617
7.0,7.175583
14.0,13.730789
17.0,16.987818
6.0,6.115613
7.0,7.0747404
10.0,9.951513
13.0,12.978744
13.0,12.906238
12.0,12.046247
7.0,7.094901
15.0,14.771982
14.0,13.8141575
16.0,15.782609
12.0,11.996416
14.0,13.891022
18.0,17.821754
14.0,13.967853
11.0,10.982775
10.0,10.011565
6.0,6.098574
9.0,9.129657
12.0,12.08703
9.0,9.0790205
9.0,9.023205
13.0,13.103094
18.0,17.848118
9.0,8.997172
7.0,6.922709
6.0,6.0462303
9.0,8.957655
9.0,8.941037
10.0,9.957706
4.0,4.2213483
8.0,8.232433
7.0,7.056098
6.0,6.1250825
14.0,13.905305
7.0,6.9873223
9.0,8.810766
11.0,11.051367
9.0,9.015501
4.0,4.257018
6.0,6.218006
9.0,8.98497
8.0,7.960338
7.0,6.8451986
8.0,7.8855047
8.0,8.091882
5.0,5.1100254
3.0,3.1688993
6.0,5.999373
13.0,13.03149
2.0,2.0932734
5.0,4.941489
6.0,6.116661
3.0,3.0387666
8.0,7.994942
10.0,9.988986
8.0,8.055246
3.0,2.9927814
7.0,6.8807077
8.0,7.941932
6.0,5.9581943
12.0,11.847219
14.0,13.88302
6.0,5.91462
4.0,4.028293
7.0,7.010456
4.0,4.0272565
5.0,5.1091022
13.0,13.002701
12.0,11.788124
14.0,13.968275
6.0,6.0670485
13.0,12.963484
7.0,7.0566854
14.0,13.807143
9.0,8.856594
9.0,9.052351
10.0,10.051551
4.0,4.179433
11.0,10.95631
9.0,8.982133
5.0,5.1120186
4.0,4.00484
13.0,12.855042
7.0,7.003854
8.0,8.068762
14.0,13.843584
7.0,7.165786
7.0,7.0511527
19.0,18.908577
7.0,6.9368567
12.0,11.805785
10.0,9.940791
9.0,9.08627
6.0,5.9486437
4.0,4.1771235
10.0,9.897778
6.0,6.1626453
8.0,7.9441757
6.0,6.2588854
6.0,6.059704
9.0,8.894118
8.0,7.9400206
15.0,14.986918
14.0,14.006837
13.0,12.74618
11.0,11.046029
10.0,10.007415
16.0,15.919549
7.0,7.091367
6.0,6.2285233
8.0,8.064216
8.0,8.161767
13.0,13.001708
12.0,11.72774
13.0,12.909732
11.0,11.083422
9.0,9.141725
13.0,12.886665
10.0,9.925538
13.0,13.010394
9.0,8.973626
9.0,9.097793
7.0,7.116128
16.0,15.734589
7.0,7.264828
9.0,9.079766
13.0,12.98757
12.0,11.966733
9.0,9.034394
14.0,13.795546
9.0,8.959473
7.0,7.1227055
7.0,7.105008
8.0,8.124212
10.0,9.945178
10.0,9.992066
14.0,14.042062
9.0,8.99693
8.0,8.241826
12.0,12.0391865
11.0,10.980142
8.0,8.034086
12.0,11.902666
9.0,9.050502
12.0,11.931099
9.0,9.118802
19.0,18.788233
10.0,9.9929285
22.0,21.922514
11.0,11.007579
11.0,11.118857
11.0,10.979025
17.0,16.783226
13.0,12.970297
19.0,18.768167
9.0,9.00231
16.0,15.975166
8.0,8.118531
9.0,9.15803
10.0,9.964741
11.0,10.938023
11.0,11.045537
11.0,11.037342
8.0,8.16797
8.0,8.095722
9.0,9.058936
10.0,9.985441
14.0,13.803173
13.0,12.902631
14.0,14.066452
8.0,8.198639
15.0,15.0559435
11.0,10.953233
8.0,8.223067
12.0,12.000773
6.0,6.239006
12.0,12.042502
19.0,18.726942
8.0,8.063435
19.0,18.83716
6.0,6.014495
7.0,6.958659
8.0,7.92229
16.0,15.841819
14.0,13.919754
13.0,12.767494
9.0,9.001891
5.0,5.1545286
12.0,11.86913
8.0,7.8420777
8.0,8.084114
5.0,5.1088343
9.0,9.0115385
