y_true,y_pred
8.0,8.002856
7.0,7.0099893
13.0,12.914025
11.0,11.10158
10.0,9.884688
7.0,7.1112633
9.0,9.075626
12.0,11.772174
9.0,9.197786
10.0,9.934977
15.0,14.917289
10.0,10.120189
13.0,13.041932
14.0,13.934065
15.0,14.928824
8.0,8.164577
11.0,10.838252
11.0,10.940352
13.0,12.986782
9.0,9.047505
6.0,6.023914
11.0,10.918248
13.0,13.037981
9.0,9.235667
10.0,10.0916195
15.0,14.966853
13.0,12.934746
6.0,6.231484
17.0,17.025507
7.0,7.039216
9.0,8.974779
14.0,13.940539
16.0,15.983322
12.0,11.913068
13.0,12.779917
11.0,11.013559
9.0,8.952855
19.0,18.74001
13.0,12.999501
11.0,11.048894
10.0,9.967239
10.0,10.021665
10.0,10.050978
15.0,14.922298
10.0,9.877629
6.0,6.133372
17.0,16.851469
14.0,13.937244
11.0,11.026944
9.0,9.041915
10.0,10.223752
13.0,12.918426
7.0,7.252666
14.0,13.931308
17.0,16.812304
6.0,6.2284455
7.0,7.0357265
10.0,9.920996
13.0,12.977071
13.0,12.964965
12.0,11.984502
7.0,7.186531
15.0,14.766518
14.0,13.958894
16.0,15.884885
12.0,12.048141
14.0,14.030575
18.0,17.860937
14.0,13.9659
11.0,11.127705
10.0,9.970047
6.0,6.1657357
9.0,9.06325
12.0,11.985196
9.0,9.165422
9.0,9.049341
13.0,12.820098
18.0,17.765377
9.0,9.101964
7.0,6.9397044
6.0,6.051231
9.0,9.145336
9.0,9.033764
10.0,10.091304
4.0,4.0487294
8.0,8.149813
7.0,7.0717473
6.0,5.9648557
14.0,13.785069
7.0,6.961275
9.0,8.988562
11.0,10.934722
9.0,8.859001
4.0,4.1798224
6.0,6.0409946
9.0,9.000386
8.0,7.9790826
7.0,6.838565
8.0,7.9298043
8.0,8.006035
5.0,5.219961
3.0,3.2357328
6.0,6.0699954
13.0,12.946555
2.0,2.061921
5.0,4.9860444
6.0,6.0207896
3.0,3.0586207
8.0,8.025445
10.0,9.987855
8.0,8.007375
3.0,3.182961
7.0,6.900049
8.0,7.964931
6.0,6.0020905
12.0,11.917604
14.0,13.848684
6.0,5.9950933
4.0,4.0631514
7.0,7.132143
4.0,3.9485638
5.0,5.1424227
13.0,12.942787
12.0,11.939743
14.0,14.03269
6.0,6.0103135
13.0,13.001752
7.0,6.958919
14.0,13.798661
9.0,9.037695
9.0,9.024286
10.0,9.935031
4.0,3.8897798
11.0,10.94669
9.0,9.038885
5.0,4.882581
4.0,4.221775
13.0,12.89622
7.0,7.0960574
8.0,8.151688
14.0,14.042159
7.0,7.056483
7.0,7.024861
19.0,18.6576
7.0,7.0619326
12.0,12.028513
10.0,10.006737
9.0,8.964804
6.0,5.9750886
4.0,4.1026955
10.0,9.972268
6.0,5.9735765
8.0,7.976382
6.0,6.228324
6.0,6.2105207
9.0,9.208806
8.0,8.106546
15.0,14.931152
14.0,13.821946
13.0,12.941435
11.0,10.924089
10.0,9.840062
16.0,15.727786
7.0,7.196516
6.0,6.133933
8.0,8.160921
8.0,8.06333
13.0,12.882939
12.0,11.81113
13.0,12.946846
11.0,10.93805
9.0,9.057775
13.0,12.796423
10.0,10.150415
13.0,12.823986
9.0,9.122963
9.0,8.938078
7.0,7.1648045
16.0,15.731038
7.0,7.151243
9.0,9.029684
13.0,12.995363
12.0,11.99282
9.0,9.093424
14.0,13.974077
9.0,9.045292
7.0,7.12462
7.0,7.070803
8.0,8.229219
10.0,10.022482
10.0,10.007827
14.0,13.96059
9.0,9.176731
8.0,8.027621
12.0,12.034941
11.0,11.026173
8.0,7.9665766
12.0,11.988677
9.0,8.995316
12.0,11.862897
9.0,9.164026
19.0,18.99349
10.0,9.9821005
22.0,21.882942
11.0,11.025953
11.0,11.094014
11.0,11.026441
17.0,16.740414
13.0,12.913346
19.0,18.853432
9.0,9.242867
16.0,15.970726
8.0,8.02303
9.0,8.940893
10.0,10.131419
11.0,10.956093
11.0,10.980112
11.0,11.2896805
8.0,8.175694
8.0,7.9588614
9.0,9.014631
10.0,9.9922285
14.0,13.768027
13.0,12.943643
14.0,13.996674
8.0,8.0571995
15.0,14.831293
11.0,11.136932
8.0,8.141499
12.0,11.977601
6.0,6.0530653
12.0,11.786492
19.0,18.773596
8.0,8.208732
19.0,19.05907
6.0,6.059278
7.0,7.055809
8.0,7.9468436
16.0,15.74071
14.0,13.764231
13.0,12.779027
9.0,9.185762
5.0,5.003022
12.0,11.732726
8.0,8.017652
8.0,8.001962
5.0,5.0959287
9.0,8.937374
